res15_svr,res30_svr,res45_svr,res15_mlp,res30_mlp,res45_mlp
21446.013220813184,21446.013220813184,21446.013220813184,56877.1795662405,56877.1795662405,56877.1795662405
21414.708493064365,21414.708493064365,21414.708493064365,56758.201797109876,56758.201797109876,56758.201797109876
21381.899045428767,21381.899045428767,21381.899045428767,56610.91087561075,56610.91087561075,56610.91087561075
21347.607970762754,21347.607970762754,21347.607970762754,56428.98907219174,56428.98907219174,56428.98907219174
21311.868743948347,21311.868743948347,21311.868743948347,56204.93021428334,56204.93021428334,56204.93021428334
21274.7257571309,21274.7257571309,21274.7257571309,55929.93417873768,55929.93417873768,55929.93417873768
21236.234775972276,21236.234775972276,21236.234775972276,55593.85908875004,55593.85908875004,55593.85908875004
21196.463306537516,21196.463306537516,21196.463306537516,55185.274380737355,55185.274380737355,55185.274380737355
21155.490862907598,21155.490862907598,21155.490862907598,54691.671682550266,54691.671682550266,54691.671682550266
21113.409126282553,21113.409126282553,21113.409126282553,54099.90177677702,54099.90177677702,54099.90177677702
21070.321987209114,21070.321987209114,21070.321987209114,53396.90856127504,53396.90856127504,53396.90856127504
21026.345463632348,21026.345463632348,21026.345463632348,52570.81544315187,52570.81544315187,52570.81544315187
20981.60748872438,20981.60748872438,20981.60748872438,51612.37473226521,51612.37473226521,51612.37473226521
20936.24756387419,20936.24756387419,20936.24756387419,50516.70755680078,50516.70755680078,50516.70755680078
20890.416273814462,20890.416273814462,20890.416273814462,49285.14251048711,49285.14251048711,49285.14251048711
20844.27466259568,20844.27466259568,20844.27466259568,47926.82837494192,47926.82837494192,47926.82837494192
20797.993470969086,20797.993470969086,20797.993470969086,46459.698876889146,46459.698876889146,46459.698876889146
20751.75223768248,20751.75223768248,20751.75223768248,44910.37144180603,44910.37144180603,44910.37144180603
20705.73826919447,20705.73826919447,20705.73826919447,43312.71903498742,43312.71903498742,43312.71903498742
20660.145484340825,20660.145484340825,20660.145484340825,41705.15879913503,41705.15879913503,41705.15879913503
20615.17314250518,20615.17314250518,20615.17314250518,40127.06497063522,40127.06497063522,40127.06497063522
20571.024465818293,20571.024465818293,20571.024465818293,38614.99070638371,38614.99070638371,38614.99070638371
20527.90516779801,20527.90516779801,20527.90516779801,37199.44659901702,37199.44659901702,37199.44659901702
20486.021902608256,20486.021902608256,20486.021902608256,35902.80228582725,35902.80228582725,35902.80228582725
20445.580650722746,20445.580650722746,20445.580650722746,34738.53789977673,34738.53789977673,34738.53789977673
20406.785058193287,20406.785058193287,20406.785058193287,33711.72196201113,33711.72196201113,33711.72196201113
20369.834747911078,20369.834747911078,20369.834747911078,32820.355659096436,32820.355659096436,32820.355659096436
20334.923622182967,20334.923622182967,20334.923622182967,32057.14672547333,32057.14672547333,32057.14672547333
20302.23817659928,20302.23817659928,20302.23817659928,31411.331147334044,31411.331147334044,31411.331147334044
20271.955845524804,20271.955845524804,20271.955845524804,30870.283673869242,30870.283673869242,30870.283673869242
20244.24339958602,20244.24339958602,20244.24339958602,30420.788691174526,30420.788691174526,30420.788691174526
20219.255415246076,20219.255415246076,20219.255415246076,30049.945509565707,30049.945509565707,30049.945509565707
20197.132835953136,20197.132835953136,20197.132835953136,29745.74541555177,29745.74541555177,29745.74541555177
20178.001643419593,20178.001643419593,20178.001643419593,29497.386617232936,29497.386617232936,29497.386617232936
20161.971656351332,20161.971656351332,20161.971656351332,29295.398280401234,29295.398280401234,29295.398280401234
20149.135472413003,20149.135472413003,20149.135472413003,29131.63688398524,29131.63688398524,29131.63688398524
20139.567567410028,20139.567567410028,20139.567567410028,28999.204983741554,28999.204983741554,28999.204983741554
20133.32356361952,20133.32356361952,20133.32356361952,28892.32889578344,28892.32889578344,28892.32889578344
20130.43967694316,20130.43967694316,20130.43967694316,28806.22009201233,28806.22009201233,28806.22009201233
20130.932350123494,20130.932350123494,20130.932350123494,28736.935984920452,28736.935984920452,28736.935984920452
20134.798076702595,20134.798076702595,20134.798076702595,28681.24919271293,28681.24919271293,28681.24919271293
20142.013417752634,20142.013417752634,20142.013417752634,28636.52989291683,28636.52989291683,28636.52989291683
20152.5352107181,20152.5352107181,20152.5352107181,28600.64298922183,28600.64298922183,28600.64298922183
20166.300967025876,20166.300967025876,20166.300967025876,28571.860074208646,28571.860074208646,28571.860074208646
20183.22945248957,20183.22945248957,20183.22945248957,28548.785202845695,28548.785202845695,28548.785202845695
20203.22144200368,20203.22144200368,20203.22144200368,28530.293025544812,28530.293025544812,28530.293025544812
20226.16063763568,20226.16063763568,20226.16063763568,28515.47767322984,28515.47767322984,28515.47767322984
20251.91473702042,20251.91473702042,20251.91473702042,28503.61081076503,28503.61081076503,28503.61081076503
20280.336636978383,20280.336636978383,20280.336636978383,28494.107395088664,28494.107395088664,28494.107395088664
20311.265755549797,20311.265755549797,20311.265755549797,28486.497837891053,28486.497837891053,28486.497837891053
20344.52945418771,20344.52945418771,20344.52945418771,28480.40544823215,28480.40544823215,28480.40544823215
20379.944540706296,20379.944540706296,20379.944540706296,28475.52820039434,28475.52820039434,28475.52820039434
20417.31883275158,20417.31883275158,20417.31883275158,28471.62402748194,28471.62402748194,28471.62402748194
20456.452761059583,20456.452761059583,20456.452761059583,28468.498978024203,28468.498978024203,28468.498978024203
20497.140991595083,20497.140991595083,20497.140991595083,28465.997690409073,28465.997690409073,28465.997690409073
20539.17404581893,20539.17404581893,20539.17404581893,28463.99573932681,28463.99573932681,28463.99573932681
20582.339898804636,20582.339898804636,20582.339898804636,28462.39349131398,28462.39349131398,28462.39349131398
20626.425535700553,20626.425535700553,20626.425535700553,28461.1111750273,28461.1111750273,28461.1111750273
20671.218448092957,20671.218448092957,20671.218448092957,28460.084928144373,28460.084928144373,28460.084928144373
20716.508053142825,20716.508053142825,20716.508053142825,28459.26362871629,28459.26362871629,28459.26362871629
20762.08701991693,20762.08701991693,20762.08701991693,28458.60635614412,28458.60635614412,28458.60635614412
20807.752489080965,20807.752489080965,20807.752489080965,28458.080357204497,28458.080357204497,28458.080357204497
20853.307174033955,20853.307174033955,20853.307174033955,28457.659417005434,28457.659417005434,28457.659417005434
20898.56033360477,20898.56033360477,20898.56033360477,28457.32255447797,28457.32255447797,28457.32255447797
20943.32860856615,20943.32860856615,20943.32860856615,28457.052977889478,28457.052977889478,28457.052977889478
20987.436716412914,20987.436716412914,20987.436716412914,28456.837248640713,28456.837248640713,28456.837248640713
21030.718001064084,21030.718001064084,21030.718001064084,28456.664611869317,28456.664611869317,28456.664611869317
21073.014836347742,21073.014836347742,21073.014836347742,28456.526460622375,28456.526460622375,28456.526460622375
21114.178884281984,21114.178884281984,21114.178884281984,28456.415906969854,28456.415906969854,28456.415906969854
21154.071211243583,21154.071211243583,21154.071211243583,28456.327438730797,28456.327438730797,28456.327438730797
